add_cm,add_pass,adds_cm,adds_pass,diam_cm,frame,obj,ok,rot_err,strategy,t_err_cm,time_ms,top_k
12.478778551445844,False,0.2893472751709155,True,17.206263473805112,0000000.txt,ob_0000001,True,179.49973664897888,random,0.07401386642422907,367.4890995025635,1
12.44482593909388,False,0.3202637504506379,True,17.206263473805112,0000001.txt,ob_0000001,True,179.01897378522733,random,0.20968628030061187,239.61186408996582,1
13.094270954731464,False,5.269059423396811,False,17.206263473805112,0000002.txt,ob_0000001,True,106.90846287704521,random,7.746044389067941,244.68421936035156,1
11.322428574239,False,3.1963291919610235,False,17.206263473805112,0000003.txt,ob_0000001,True,97.03462395422544,random,5.938337588082333,248.1377124786377,1
5.100140863936672,False,0.304704529228878,True,17.206263473805112,0000004.txt,ob_0000001,True,78.69391703089114,random,0.2514064089923516,263.38696479797363,1
11.20436724458662,False,3.0252899480617277,False,17.206263473805112,0000005.txt,ob_0000001,True,121.87925024454067,random,3.5157895078673027,234.21216011047363,1
15.095232413373116,False,8.50378406299503,False,17.206263473805112,0000006.txt,ob_0000001,True,87.21264032103696,random,11.553003283690309,241.31464958190918,1
10.88160573190206,False,2.175901359081509,False,17.206263473805112,0000007.txt,ob_0000001,True,110.93073340433962,random,4.3646301772017155,234.10463333129883,1
12.493521281163904,False,0.31336920930940926,True,17.206263473805112,0000008.txt,ob_0000001,True,178.56378092727286,random,0.20609387133281826,266.9496536254883,1
11.10693180990171,False,4.155758340757529,False,17.206263473805112,0000009.txt,ob_0000001,True,126.27407589404332,random,7.387938534187254,307.0042133331299,1
11.917442168527968,False,4.164098443126506,False,17.206263473805112,0000010.txt,ob_0000001,True,177.58969541745432,random,6.804103384696972,265.9718990325928,1
12.477404187063744,False,0.3283363667436904,True,17.206263473805112,0000011.txt,ob_0000001,True,178.11017726838313,random,0.32132308683628924,254.14037704467773,1
13.856667189093416,False,6.745053842320198,False,17.206263473805112,0000012.txt,ob_0000001,True,115.5130463244535,random,10.246802460396534,378.34715843200684,1
11.833976949330545,False,1.9712787493797208,False,17.206263473805112,0000013.txt,ob_0000001,True,168.03483134646598,random,3.405542052103325,258.6829662322998,1
12.07968944483631,False,5.151238863600865,False,17.206263473805112,0000014.txt,ob_0000001,True,102.57465026421023,random,7.362256477267695,245.52202224731445,1
10.67909526154681,False,2.1496183916029787,False,17.206263473805112,0000015.txt,ob_0000001,True,96.30876496711231,random,4.223442665982705,253.7384033203125,1
10.036676349228488,False,1.8745022744222701,False,17.206263473805112,0000000.txt,ob_0000001,True,90.19636378442176,random,3.9748646486488015,286.99469566345215,3
11.565053344658224,False,4.011121228941676,False,17.206263473805112,0000001.txt,ob_0000001,True,100.69155139954151,random,5.822722022829768,272.1991539001465,3
