add_cm,add_pass,adds_cm,adds_pass,diam_cm,frame,obj,ok,rot_err,strategy,t_err_cm,time_ms,top_k
0.9095928647442911,True,0.22066965802933747,True,17.206263473805112,0000000.txt,ob_0000001,True,13.125571273090705,random,0.05364234062228757,4451.5380859375,252
0.2853527961329589,True,0.18422591527562496,True,17.206263473805112,0000001.txt,ob_0000001,True,2.3069499018922452,random,0.2618590932174058,4453.720808029175,252
7.965925707506997,False,0.2759977342080088,True,17.206263473805112,0000002.txt,ob_0000001,True,166.98241213060632,random,0.22247977454619758,4463.5725021362305,252
8.050640757917591,False,0.28742021787499517,True,17.206263473805112,0000003.txt,ob_0000001,True,174.7835112705838,random,0.28197312227617605,4593.999624252319,252
0.2877774286980286,True,0.2209593846804556,True,17.206263473805112,0000004.txt,ob_0000001,True,1.0766168085654262,random,0.2510786339548093,4721.497535705566,252
0.9523876873171254,True,0.32995377658412517,True,17.206263473805112,0000005.txt,ob_0000001,True,13.516279310568205,random,0.3464082393093918,4866.955518722534,252
1.2845151066337117,True,0.4105186405456789,True,17.206263473805112,0000006.txt,ob_0000001,True,17.1405496712685,random,0.4996699368591626,4875.303506851196,252
0.33123656888682773,True,0.2295897870183398,True,17.206263473805112,0000007.txt,ob_0000001,True,1.9322349539956967,random,0.2857229359590402,4802.335977554321,252
1.036894175956707,True,0.3074505303180399,True,17.206263473805112,0000008.txt,ob_0000001,True,14.27742970589447,random,0.2706922781038169,4657.851457595825,252
0.19331024713336323,True,0.1492093275613523,True,17.206263473805112,0000009.txt,ob_0000001,True,1.4032627328053238,random,0.15248947847389716,4526.003837585449,252
0.5816561868935451,True,0.2867366263505741,True,17.206263473805112,0000010.txt,ob_0000001,True,4.68302696365699,random,0.4719687254554171,4453.947067260742,252
0.37425520017937597,True,0.2288088741419907,True,17.206263473805112,0000011.txt,ob_0000001,True,1.8803039086208384,random,0.2971324932101429,4408.027410507202,252
0.9097392257775205,True,0.2839601365749876,True,17.206263473805112,0000012.txt,ob_0000001,True,12.182536105628369,random,0.2751548264774888,4370.157718658447,252
0.7039308090146527,True,0.23434539646334943,True,17.206263473805112,0000013.txt,ob_0000001,True,10.075607956733176,random,0.09836697116812952,4297.488689422607,252
8.074680156394434,False,0.3881852931108288,True,17.206263473805112,0000014.txt,ob_0000001,True,168.19550122464878,random,0.6879436571254163,4319.005250930786,252
